What follows is a data file showing a log of the movements of two ships.
After that are some example questions and answers based on this data.

Data file in CSV format: THIS IS NOT THE REAL DATA, IT IS JUST AN EXAMPLE.
date,time,latitude,longitude,id,entity-type,speed,heading,direction,port-achieved,next-port,previous-port
2025-09-08,05:30,33.738286,127.188750,Bluesky,oil-tanker,18.000000,248,west,FALSE,Port-A,Port-E
2025-09-08,05:30,33.811429,129.285833,Oceanic,oil-tanker,18.000000,194,south,FALSE,Port-E,Port-D
2025-09-08,05:45,33.772571,129.274167,Oceanic,oil-tanker,18.000000,194,south,FALSE,Port-E,Port-D
2025-09-08,05:45,33.722286,127.139167,Bluesky,oil-tanker,18.000000,248,west,FALSE,Port-A,Port-E
2025-09-08,06:00,33.733714,129.262500,Oceanic,oil-tanker,18.000000,194,south,FALSE,Port-E,Port-D
2025-09-08,06:00,33.706286,127.092500,Bluesky,oil-tanker,9.000000,244,west,FALSE,Port-A,Port-E
2025-09-08,06:15,33.694857,129.271250,Oceanic,oil-tanker,9.000000,148,south,FALSE,none,Port-D
2025-09-08,06:15,33.688000,127.045833,Bluesky,oil-tanker,18.000000,244,west,FALSE,Port-A,Port-E
2025-09-08,06:30,33.660571,129.300417,Oceanic,oil-tanker,18.000000,148,south,FALSE,none,Port-D
2025-09-08,06:30,33.669714,126.999167,Bluesky,oil-tanker,18.000000,244,west,FALSE,Port-A,Port-E
2025-09-08,06:45,33.626286,129.329583,Oceanic,oil-tanker,18.000000,148,south,FALSE,Port-E,Port-D
2025-09-08,06:45,33.669714,126.999167,Bluesky,oil-tanker,0.000000,244,west,TRUE,Port-A,Port-E
2025-09-08,07:00,33.669714,126.999167,Bluesky,oil-tanker,0.000000,244,west,TRUE,Port-A,Port-E
2025-09-08,07:00,33.592000,129.358750,Oceanic,oil-tanker,18.000000,148,south,FALSE,Port-E,Port-D
2025-09-08,07:15,33.669714,126.999167,Bluesky,oil-tanker,0.000000,244,west,TRUE,Port-A,Port-E
2025-09-08,07:15,33.557714,129.387917,Oceanic,oil-tanker,18.000000,148,south,FALSE,Port-E,Port-D
2025-09-08,07:30,33.669714,126.999167,Bluesky,oil-tanker,0.000000,244,west,TRUE,Port-A,Port-E
2025-09-08,07:30,33.546286,129.396667,Oceanic,oil-tanker,6.000000,148,south,FALSE,Port-E,Port-D
2025-09-08,07:45,33.669714,126.999167,Bluesky,oil-tanker,0.000000,244,west,TRUE,Port-A,Port-E
2025-09-08,07:45,33.534857,129.405417,Oceanic,oil-tanker,6.000000,148,south,FALSE,Port-E,Port-D
2025-09-08,08:00,33.667429,126.999167,Bluesky,oil-tanker,3.000000,96,east,FALSE,none,Port-A
2025-09-08,08:00,33.523429,129.414167,Oceanic,oil-tanker,6.000000,148,south,FALSE,Port-E,Port-D
2025-09-08,08:15,33.665143,127.016667,Bluesky,oil-tanker,6.000000,96,east,FALSE,none,Port-A
2025-09-08,08:15,33.512000,129.425833,Oceanic,oil-tanker,3.000000,144,south,FALSE,Port-E,Port-D
2025-09-08,08:30,33.662857,127.034167,Bluesky,oil-tanker,6.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,08:30,33.512000,129.425833,Oceanic,oil-tanker,0.000000,144,south,TRUE,Port-E,Port-D
2025-09-08,08:45,33.660571,127.051667,Bluesky,oil-tanker,6.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,08:45,33.512000,129.425833,Oceanic,oil-tanker,0.000000,144,south,TRUE,Port-E,Port-D
2025-09-08,09:00,33.512000,129.425833,Oceanic,oil-tanker,0.000000,144,south,TRUE,Port-E,Port-D
2025-09-08,09:00,33.656000,127.104167,Bluesky,oil-tanker,18.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,09:15,33.512000,129.425833,Oceanic,oil-tanker,0.000000,144,south,TRUE,Port-E,Port-D
2025-09-08,09:15,33.651429,127.156667,Bluesky,oil-tanker,18.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,09:30,33.512000,129.425833,Oceanic,oil-tanker,0.000000,144,south,TRUE,Port-E,Port-D
2025-09-08,09:30,33.646857,127.209167,Bluesky,oil-tanker,18.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,09:45,33.509714,129.440417,Oceanic,oil-tanker,3.000000,69,east,FALSE,none,Port-E
2025-09-08,09:45,33.642286,127.261667,Bluesky,oil-tanker,18.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,10:00,33.637714,127.314167,Bluesky,oil-tanker,18.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,10:00,33.514286,129.457917,Oceanic,oil-tanker,6.000000,69,east,FALSE,none,Port-E
2025-09-08,10:15,33.518857,129.475417,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,10:15,33.633143,127.366667,Bluesky,oil-tanker,18.000000,96,east,FALSE,Port-E,Port-A
2025-09-08,10:30,33.523429,129.492917,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,10:30,33.649143,127.445417,Bluesky,oil-tanker,15.000000,53,east,FALSE,none,Port-A
2025-09-08,10:45,33.690286,127.515417,Bluesky,oil-tanker,30.000000,53,east,FALSE,none,Port-A
2025-09-08,10:45,33.528000,129.510417,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,11:00,33.532571,129.527917,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,11:00,33.731429,127.585417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,11:15,33.772571,127.655417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,11:15,33.537143,129.545417,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,11:30,33.541714,129.562917,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,11:30,33.813714,127.725417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,11:45,33.546286,129.580417,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,11:45,33.854857,127.795417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,12:00,33.550857,129.597917,Oceanic,oil-tanker,6.000000,69,east,FALSE,Port-C,Port-E
2025-09-08,12:00,33.896000,127.865417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,12:15,33.555429,129.615417,Oceanic,oil-tanker,3.000000,65,east,FALSE,Port-C,Port-E
2025-09-08,12:15,33.937143,127.935417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,12:30,33.978286,128.005417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,12:30,33.562286,129.630000,Oceanic,oil-tanker,6.000000,65,east,FALSE,Port-C,Port-E
2025-09-08,12:45,33.569143,129.644583,Oceanic,oil-tanker,6.000000,65,east,FALSE,Port-C,Port-E
2025-09-08,12:45,34.019429,128.075417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,13:00,34.060571,128.145417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,13:00,33.576000,129.659167,Oceanic,oil-tanker,6.000000,65,east,FALSE,Port-C,Port-E
2025-09-08,13:15,34.101714,128.215417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,13:15,33.582857,129.673750,Oceanic,oil-tanker,6.000000,65,east,FALSE,Port-C,Port-E
2025-09-08,13:30,34.142857,128.285417,Bluesky,oil-tanker,30.000000,53,east,FALSE,Port-B,Port-A
2025-09-08,13:30,33.589714,129.688333,Oceanic,oil-tanker,6.000000,65,east,FALSE,Port-C,Port-E
